序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,ai_prob,human_prob,conclusion
1,0,291665790097,472028875,云帆o_o,5,男,Apex猎杀放在三角洲的话是什么位置？像up这种操作的，放在三角洲里得算什么级别的？我对这些没啥概念，就只是单纯知道很强,2026-02-28 17:32:09,37,83,"粉丝群：226390852
感兴趣的可以加一下目前人并不多可以在群里一起聊天",河南,否,https://i1.hdslb.com/bfs/face/aa43072084faba3a3cb9d84eaf854e348f2f5142.jpg,0.4527340233325958,0.5472660064697266,人类撰写
2,0,289954955217,405768777,kkklzh,5,保密,为啥你们这么厉害[保卫萝卜_哭哭],2026-02-15 08:04:46,82,80,,河北,否,https://i0.hdslb.com/bfs/face/40e57153134edf1a0aace0e44c2c156769aba987.jpg,0.04258919879794121,0.9574107527732849,人类撰写
3,0,290370893649,19667082,insidelyl,6,保密,打得过这位不？[doge],2026-02-18 14:08:30,52,22,,四川,否,https://i0.hdslb.com/bfs/face/7c4c9d5bcc38edd83581c725f2eb1597cdd304b5.jpg,0.050834041088819504,0.949165940284729,人类撰写
4,0,289897169553,1061593260,谷番,6,男,确实很强，但是这和无头无甲awm好像真没啥关系，也就进图是，杀了一个捡了装备以后和双枪awm不就一样用吗？,2026-02-14 18:57:15,39,85,我是万神殿造物主，强度的定义者，明日方舟之神。注：私聊内容默认不会公开。QQ粉丝群：158405691,美国,是,https://i0.hdslb.com/bfs/face/7d68ce0c6da6b3b2907ffded3a9081b4a977c6fa.jpg,0.017318425700068474,0.9826815724372864,人类撰写
5,0,292138647392,73488229,熹鸳,6,保密,还是那句话，都带aw了你那裸不裸丐不丐有什么区别呢,2026-02-15 01:57:24,14,13,查无此人,重庆,否,https://i1.hdslb.com/bfs/face/a60cc7632a84a04d70187442c592700595aa9b2d.jpg,0.02363169565796852,0.9763683080673218,人类撰写
6,0,292119429648,346190420,飞影云z,6,男,这个是不是比什么猎杀的名头还要厉害几十倍，能把所谓的猎杀打成路边一条的那种[思考],2026-02-14 18:36:09,49,339,读书不一定能改变命运，但是能改变对待命运的态度。,美国,是,https://i2.hdslb.com/bfs/face/15993b63af8f322933edaecb1e8c6b95faef9070.jpg,0.020881060510873795,0.9791188836097717,人类撰写
7,0,289914857729,29143563,谁抢了我的昵称阿,6,男,apex那个机动，apex猎杀来打这个是不是觉得人都是蜗牛,2026-02-15 02:05:24,28,33,周更。。。。。。。周更。。,重庆,是,https://i0.hdslb.com/bfs/face/bc1be09ceb47052db4f3c203c7fc4bb9337f562b.jpg,0.0156516395509243,0.9843483567237854,人类撰写
8,0,289811287265,9109879,阿黄hhxx,6,男,OBS AI吸附,2026-02-14 06:05:37,42,110,,江西,是,https://i1.hdslb.com/bfs/face/940cca5cf6d11ea1d08bcd093becc9e5737ba7a1.jpg,0.22759941220283508,0.7724006175994873,人类撰写
9,0,292160456480,3494368923093825,墨水不是沫水,5,男,这种实力真的能后天练出来吗……,2026-02-15 05:06:04,65,1321,周六周日更新,北京,否,https://i0.hdslb.com/bfs/face/78292dedac4c2122cf1254f9d282b6b97d8ff413.jpg,0.945431649684906,0.0545683428645134,AI生成
10,0,292516349360,1525652021,健哒奇趣蛋蛋,4,保密,万一碰到土豆雷咋办？ 我打航天，碰见好多次土豆雷了，快破防了，不知道哪个拐角或者草丛里面突然就出现一个全自动蜂医或者红狼，搞得我现在只敢玩麦晓雯，想去一个地方之前必须等个大扫一下不然我都不敢过去的[笑哭],2026-02-17 18:13:18,15,226,,山东,否,https://i2.hdslb.com/bfs/face/83c432a6b2c0e32b524a66627bcacacce4696d59.jpg,0.015586046501994133,0.9844139814376831,人类撰写
11,0,292436779088,3546655737514836,别来叶子,4,男,一般都是野排，什么水平？,2026-02-17 05:41:32,31,144,,江西,是,https://i0.hdslb.com/bfs/face/81b25633b41ba690fc8b1fe36742e00587d9b251.jpg,0.021392133086919785,0.9786078333854675,人类撰写
12,0,293853180304,1921797340,纯良的孩子-,5,男,这要是挂，我跑到时遇到一个女医，给了她几个小金，突然，两个刘涛搬着盒子过来了，女医指了指盒子，我在盒子里面找到了非洲之心，递给了女医。女医指了指我，表示不要，在最后撤离前，她的打手把我打了，幸好我非洲之心塞安全箱了。出来以后，她加了我的好友，天天跟我一起带着护子打，还时不时给我爆金币，后来她向我表白了，但我知道我们始终是两个世界的人，于是我拒绝了，但在我上学时，发现我们班上转来了一个新同学，她坐到了我旁边，笑着说:“小鼠鼠，一天不见，认不到我了?”,2026-02-28 00:34:24,9,174,,陕西,否,https://i1.hdslb.com/bfs/face/2b40d15aefae19e3672e6b8222783c5a998484d7.jpg,0.012188838794827461,0.9878111481666565,人类撰写
13,0,292133006192,1118582915,欧皇的小马,5,男,如果三个威龙喷气大拉进去UP是不是就炸缸了？,2026-02-15 00:56:50,35,171,"阿巴阿巴
",河北,是,https://i2.hdslb.com/bfs/face/0dc872a4248aa374192d2195fbf942ebbe72e96c.jpg,0.013402935117483139,0.9865971207618713,人类撰写
14,0,292003225936,676493645,神奇菠挪,6,保密,第一个遇到的敌人为什么直接退了，那么高的战备，他队友还在后面为什么直接退了啊,2026-02-14 02:10:44,20,71,我很丰富，无法用一段签名形容(๑´∀`๑),安徽,否,https://i2.hdslb.com/bfs/face/d9dfbd55635c97ecd8f5c1c0dc942a439b9bf3be.webp,0.02572300285100937,0.9742770195007324,人类撰写
15,0,289790789569,13336893,想做中二少年,6,保密,给我这个开局转换一滴血假人，裸枪视频aw杀9成，不打头就算马枪的神看哭了,2026-02-14 03:15:26,15,24,能与你相识是我最棒的幸运，叶修,上海,是,https://i0.hdslb.com/bfs/face/51299308ef8fbef74a1e5fe86f635727f496ee17.jpg,0.017098000273108482,0.9829020500183105,人类撰写
