书名,出版信息,评价人数,用户名,评论内容,序号,ai_prob,human_prob,conclusion
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9204,Shenmo20462025-12-09 00:08:05浙江,人们总是高估余华，而低估刘震云。,1,0.026056308299303055,0.9739436507225037,人类撰写
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9204,Oliver Twist2025-12-02 12:56:09江西,跟另一位知名男作家的新小说一起面世的。高下立判。4.5分,2,0.1686781644821167,0.8313217759132385,人类撰写
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9204,Citrus2025-12-07 19:36:13北京,刘震云老师的作品，除却一句顶一万句，大都维持在统一水准，不会很低，但也难高，永远差一口气。近来知名的作家总想写当下，写现代事现代人，但写出来又让人觉得那些事件已然落伍，21克的灵魂，出走半生的少年，互联网大v的口水战，怒开公交车回自己家的女儿，这些新闻虽在发生，却也变成渣滓了，总想写总想缝合，在故事里就突兀，让人觉得延津这个世界旧里翻新，既不属于过去也不属于现代，跳戏严重。文化人在时代中站上浪尖，也在乌合之众的唾沫里溃不成军，人性之恶这一主题其实用不上470页，若写这个篇幅，前面铺的力度就要足够，结尾生活的巴掌才响，现在结尾并不唏嘘，像作文为了收尾，非常急促给了个转折和结局。最后小说不像小说，议论文又不像议论文，推成大人性反不如以前踏踏实实写小人生里的针尖恶。真的，别老想总结。,3,0.04014979302883148,0.9598501920700073,人类撰写
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9204,哥德堡2025-12-06 20:07:19北京,卢克明那本滚蛋书用了我两个小时。这本书用了我两天，也是舒服的。又不一样，那个是短视频，这个是长文章。刘老师对生活的描述很好，让我一次又一次的思考我的生活。特别是被家庭困在北京的现在，这不合逻辑也让我不喜欢，只因为老婆孩子在。化繁为简吧，对得起自己和母亲。母亲是那个面对我的困境落泪的人。生活是我来过的。,4,0.017466126009821892,0.982533872127533,人类撰写
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9204,我会变螃蟹2025-12-09 15:30:03河北,本来可以给5星，但是新书就有印刷错误，398页是让秦东峰进去，给印成让杜太白进去了,5,0.015772216022014618,0.9842277765274048,人类撰写
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9204,天亮天黑2026-01-04 20:00:54北京,我最喜欢的是书中最后五页的「正文二」的故事，开了河南菜馆知味社的老夫少妻，不知道是不是杜太白和春芽。希望是。,6,0.012581910006701946,0.9874180555343628,人类撰写
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9204,果V2025-12-10 22:22:38江苏,高考状元还是要比牙医强那么一些的，强就强在每部作品发挥稳定，起伏比较小。,7,0.029749564826488495,0.9702504873275757,人类撰写
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9204,波豆豆2025-12-11 14:58:12天津,在冬天装死，在春天复活。,8,0.046357426792383194,0.9536425471305847,人类撰写
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9204,斯坦利2025-12-05 23:26:37山东,比华子强，我个人对刘震云“车轱辘话”式的写作方式很喜欢，可能是因为我本人的日常讲述也是如此。而且，还有我大济南的彩蛋。,9,0.020283564925193787,0.9797163605690002,人类撰写
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9204,Fisher QC2025-12-06 19:26:04北京,一句顶一万句讲的是，你一言我一语，咱俩有话说。咸的玩笑讲的是，你总有过不去的坎儿，尤其是逻辑颠倒的坎儿，这个坎儿怎么看都是个玩笑，但让你哭，让你没法活，这是生活开的玩笑。我的眼中为什么常含泪水，因为这玩笑开得过分。另外，多少有刘老师跟小崔纷争的影子，有些心路历程是否也是刘老师通过写作进行的心理疗愈。,10,0.5604768991470337,0.4395231604576111,AI生成
