序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,294185771809,419642864,Y初心不改Y,6,男,他一直喊累，没想过自己为什么那么累吗？高强度工作，加上睡眠少，还强烈运动，而且固执己见，别人都劝他了，非不听,2026-03-26 01:56:45,29,235,转瞬即逝的相逢和离别，每一个瞬间，我都想无比珍惜,四川,否,https://i2.hdslb.com/bfs/face/ac83641114ea3c014d0b5bb4cba40d72059487d9.jpg
2,294185771809,296700487488,3493290873719102,麻辣鱼灵,4,保密,有因有果,2026-03-26 02:37:51,0,7,但行好事,湖南,否,https://i2.hdslb.com/bfs/face/58354b33d6e01ef197466afe93841d5fa0d64d01.jpg
3,294185771809,294194393473,669905054,狂暴开摆组长,5,男,谁还不是图那点钱，他的选择罢了,2026-03-26 03:56:25,0,10,,浙江,否,https://i2.hdslb.com/bfs/face/cb1f8e0e4998608dc0cb2b3b2484fc2f10f90e67.jpg
4,294194393473,296707619424,1996183233,减法lizi,5,保密,回复 @狂暴开摆组长 :他赚的钱早就花不完了，就是他的企业干到现在全靠一个人的IP顶着，自己不拼下面员工就要饿肚子了,2026-03-26 04:03:12,0,36,,河南,是,https://i0.hdslb.com/bfs/face/7b1fcc9de20795275ce6dcd176596734bf254dae.jpg
5,296707619424,294195614401,651455573,小花包的猫猫拳,5,保密,回复 @减法lizi : 张老师一路走好，但你说的这个商业模式就不够合理呀，就像你不能指望新东方只靠俞敏洪拼命干活才能维持一样。,2026-03-26 04:07:59,0,11,,美国,否,https://i2.hdslb.com/bfs/face/70b033456632c445b5c55b637f337c09f7e7741a.jpg
6,294185771809,294201279921,1901771578,有话直着说,5,保密,跑步时大脑分泌内啡肽能减轻痛苦，产生愉悦感。对疲劳过度的人来说，相当于强行开机，让大脑认为现在情况紧急，必须屏蔽掉不舒服的信号。结果长期下来身体抗不住了,2026-03-26 05:11:44,0,147,,天津,否,https://i1.hdslb.com/bfs/face/0879d71ec5a4dba8d7e564d857a08ba7c334bc8c.jpg
7,294185771809,296715970096,154432649,北向主力大资金,6,男,他这个停不下来了已经，公司1400号人就指望他赚钱了,2026-03-26 05:30:36,0,15,打工是不可能打工的！,宁夏,否,https://i2.hdslb.com/bfs/face/4d3e11581543b64f4afe8fca25b333ff8a85152b.jpg
8,294195614401,296716080736,298985019,一只冬藏鬼,6,男,"回复 @小花包的猫猫拳 :该培养手下的,像那个那个什么眉笔69块钱很便宜的那位学习[吃瓜]",2026-03-26 05:30:55,0,20,但也许，这就是人生吧,广东,否,https://i0.hdslb.com/bfs/face/39260dd361e538dea7215ca4bcc50169f168c4aa.jpg
9,294195614401,296718062912,1996183233,减法lizi,5,保密,回复 @小花包的猫猫拳 :这确实不合理，要是张跟俞一样去个人化去培养一些其他名师，像新东方里的罗永浩，需要，王江涛这些大佬，现在他可能早享上清福了[笑哭],2026-03-26 05:58:20,0,22,,河南,是,https://i0.hdslb.com/bfs/face/7b1fcc9de20795275ce6dcd176596734bf254dae.jpg
10,294185771809,296718351408,199463507,仟吉凌,6,女,没办法，说白了他们公司就是以他为中心的模式，压力最大的肯定是张雪峰,2026-03-26 06:00:51,0,19,233333333,吉林,是,https://i2.hdslb.com/bfs/face/31d71cf0a4dae2bc36682975042c53f341802d33.jpg
