书名,出版信息,评价人数,用户名,评论内容
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9360,Shenmo20462025-12-09 00:08:05浙江,人们总是高估余华，而低估刘震云。
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9360,Oliver Twist2025-12-02 12:56:09江西,跟另一位知名男作家的新小说一起面世的。高下立判。4.5分
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9360,Citrus2025-12-07 19:36:13北京,刘震云老师的作品，除却一句顶一万句，大都维持在统一水准，不会很低，但也难高，永远差一口气。近来知名的作家总想写当下，写现代事现代人，但写出来又让人觉得那些事件已然落伍，21克的灵魂，出走半生的少年，互联网大v的口水战，怒开公交车回自己家的女儿，这些新闻虽在发生，却也变成渣滓了，总想写总想缝合，在故事里就突兀，让人觉得延津这个世界旧里翻新，既不属于过去也不属于现代，跳戏严重。文化人在时代中站上浪尖，也在乌合之众的唾沫里溃不成军，人性之恶这一主题其实用不上470页，若写这个篇幅，前面铺的力度就要足够，结尾生活的巴掌才响，现在结尾并不唏嘘，像作文为了收尾，非常急促给了个转折和结局。最后小说不像小说，议论文又不像议论文，推成大人性反不如以前踏踏实实写小人生里的针尖恶。真的，别老想总结。
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9360,哥德堡2025-12-06 20:07:19北京,卢克明那本滚蛋书用了我两个小时。这本书用了我两天，也是舒服的。又不一样，那个是短视频，这个是长文章。刘老师对生活的描述很好，让我一次又一次的思考我的生活。特别是被家庭困在北京的现在，这不合逻辑也让我不喜欢，只因为老婆孩子在。化繁为简吧，对得起自己和母亲。母亲是那个面对我的困境落泪的人。生活是我来过的。
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9360,我会变螃蟹2025-12-09 15:30:03河北,本来可以给5星，但是新书就有印刷错误，398页是让秦东峰进去，给印成让杜太白进去了
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9360,天亮天黑2026-01-04 20:00:54北京,我最喜欢的是书中最后五页的「正文二」的故事，开了河南菜馆知味社的老夫少妻，不知道是不是杜太白和春芽。希望是。
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9360,果V2025-12-10 22:22:38江苏,高考状元还是要比牙医强那么一些的，强就强在每部作品发挥稳定，起伏比较小。
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9360,波豆豆2025-12-11 14:58:12天津,在冬天装死，在春天复活。
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9360,斯坦利2025-12-05 23:26:37山东,比华子强，我个人对刘震云“车轱辘话”式的写作方式很喜欢，可能是因为我本人的日常讲述也是如此。而且，还有我大济南的彩蛋。
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9360,Fisher QC2025-12-06 19:26:04北京,一句顶一万句讲的是，你一言我一语，咱俩有话说。咸的玩笑讲的是，你总有过不去的坎儿，尤其是逻辑颠倒的坎儿，这个坎儿怎么看都是个玩笑，但让你哭，让你没法活，这是生活开的玩笑。我的眼中为什么常含泪水，因为这玩笑开得过分。另外，多少有刘老师跟小崔纷争的影子，有些心路历程是否也是刘老师通过写作进行的心理疗愈。
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9360,ifish2025-12-10 22:39:02贵州,故事和写法都比较老套，插入的魔幻现实成分有些突兀，而且在398页出现了人名弄错的现象，望编校部悉知！
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9360,朱弦遇青眼2025-12-21 15:56:18安徽,"好看啊！人这一辈子就是想找一个志同道合的人说说话呀
读完于南京先锋书店"
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9360,澍湚2026-01-13 22:24:07广东,"刘震云～咸的笑话
阅读的感受相当割裂，在涉及到主角与乡里乡亲的关系上，仍然是刘震云一如既往的高水准，极具洞察力，一旦涉及到男女之间的关系，这本书就立马沦为中老年男作家的意淫之作，全书最精华的部分就在开头，和尚的故事是最精彩的"
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9360,闲事欠安2026-01-12 00:35:56山东,读男书慎重，我得把这几个字刻在课桌上
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9360,即食大脑切片2025-12-14 18:37:18河南,人民文学出版社不会设计就滚犊子，封面印的人名难看得要死，好歹换个字体不要显得突兀，免费字体用上瘾了？里面排版字又小又密，糟蹋文学不是随便说说。
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9360,大贵2025-12-31 09:36:01上海,已经很难透过登味看本质了
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9360,格雷斯金2025-12-28 23:28:47上海,是有一些金句，但整体来说不喜欢这个人物和故事，还是偏“登”了一些。
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9360,氢气有毒2025-12-25 04:12:13中国香港,互联网的发展把刘震云都荼毒成啥样了整本书俗得下三滥烂句频出故事性却为0，封底的洋人看完此书都得引爆第三次世界大战只为要求出版社删除自己的言论并收回给其颁发的所有荣誉。
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9360,En2025-12-15 09:56:17北京,从昨天到今早，一口气读完，年度最好的原创文学了。刘震云这几年的作品虽然在写作主题上略显重复，但每一本都有滋有味的。从《手机》开始，到《一句顶一万句》，再到《一日三秋》，最后到《咸的玩笑》，刘也算构建起了自己的说话宇宙，公共谈话—喷空—笑话—闲话，这一路走下来，越来越扎进泥土里，越来越质朴简单，越来越清晰明了：如果说早期刘还在追求精神救赎，寻找摩西，那么到了现在就是把日子过得简单、质朴、归真，用幽默容纳孤独了。生活其实很简单，多是人心将其复杂化了，正如结尾猪猪说的：“世界本来很简单，一加入你们的人心，就变得复杂了。凡是把简单变成复杂的人，都居心叵测；唯一的活扣，是把复杂变回简单；但是，把简单变复杂容易，把复杂变回简单，就没有那么简单了。”何以解扣，怕唯有笑话了哈哈。
咸的玩笑,作者:刘震云出版社:人民文学出版社出版年:2025-12ISBN:9787020197620页数:475装帧:精装定价:69.00元,9360,河边撒大尿2026-01-20 00:09:01四川,看到杜太白最后在泰安开了个小饭馆，和春芽过到了一块儿还生了个孩子叫悉尼，我满意地笑了。刘震云没让人失望。晚安人类。[心]
